City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
311,Lahaina,US,82.81,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
312,Ati,TD,80.74,clear sky,13.2154,18.3353,
314,Natal,BR,81.25,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
321,Carmen,MX,82.44,scattered clouds,18.6333,-91.8333,Hotel Lossandes
323,Nacala,MZ,77.61,scattered clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
324,Maragogi,BR,78.69,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
327,Ouanaminthe,HT,89.2,overcast clouds,19.55,-71.7333,Chylton Hotel
330,Robertsport,LR,80.2,broken clouds,6.7533,-11.3686,Kwepunha Retreat
339,Samarai,PG,82.18,overcast clouds,-10.6167,150.6667,Nuli Sapi
342,Lorengau,PG,81.21,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
343,Ampanihy,MG,70.45,clear sky,-24.7,44.75,HOTEL SHARRON AMPANIHY OUEST
345,Maracaju,BR,86.72,clear sky,-21.6144,-55.1683,Maracaju Plaza Hotel - Hospedagem - Maracaju/MS
351,Saint-Louis,SN,89.74,broken clouds,16.3333,-15.0,
353,Tutoia,BR,81.14,scattered clouds,-2.7619,-42.2744,Pousada Guará's
355,Les Cayes,HT,81.32,light rain,18.2,-73.75,Villa Orphee
357,Talara,PE,74.16,clear sky,-4.5772,-81.2719,Hostal Oro Negro
363,Rio Grande,BR,86.11,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
364,Meulaboh,ID,74.86,overcast clouds,4.1363,96.1285,Kost Pria
373,El Tigre,VE,83.07,overcast clouds,8.8875,-64.2454,Hotel Santa Cruz
376,Sahuaripa,MX,74.73,clear sky,29.05,-109.2333,Estatua de Sahuaripa
377,Koumac,NC,78.64,overcast clouds,-20.5667,164.2833,Le Monitel
379,Soure,BR,81.12,light rain,-0.7167,-48.5233,Casarão da Amazônia
382,Cayenne,GF,87.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
384,Chisec,GT,80.83,light rain,15.8167,-90.2833,Hotel Estancia De La Virgen
386,Nishihara,JP,74.48,overcast clouds,26.1842,127.7558,Minshuku Agaihama
387,Dhidhdhoo,MV,81.09,broken clouds,6.8833,73.1,Dhidhoo beach
388,Tomatlan,MX,87.98,clear sky,19.9333,-105.25,El Salvial
392,Mumbwa,ZM,71.04,clear sky,-14.9783,27.0619,Mumbwa Motel
394,Gizo,SB,82.83,broken clouds,-8.103,156.8419,Imagination Island
396,Bom Jesus,BR,79.3,light rain,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
398,Phuket,TH,85.12,few clouds,8.0,98.25,The Surin
402,Diffa,NE,74.48,scattered clouds,13.3154,12.6113,ProDAF/Diffa
404,Palimbang,PH,77.85,light rain,6.2106,124.1894,Felmar Beach resort
406,Padang,ID,75.79,light rain,-0.9492,100.3543,Mercure Padang
408,Praya,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
409,Rocha,UY,77.11,broken clouds,-34.4833,-54.3333,Hotel Arrarte
414,Qui Nhon,VN,76.19,few clouds,13.7667,109.2333,Seagull Hotel
416,Faanui,PF,79.3,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
417,Alugan,PH,79.05,overcast clouds,12.2188,125.4808,JM Lodge
421,Vallenar,CL,84.67,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
424,Cabedelo,BR,81.27,clear sky,-6.9811,-34.8339,Pousada Camboinha
426,Santa Rosa,PH,77.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
427,Ocampo,MX,71.37,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
432,Pringsewu,ID,73.02,overcast clouds,-5.3582,104.9744,Urban Style by Front One
438,Mangrol,IN,74.89,clear sky,21.1167,70.1167,Hotel The Royal Honours
439,Marsh Harbour,BS,76.75,light rain,26.5412,-77.0636,Abaco Beach Resort
445,Canelones,UY,78.82,light rain,-34.6444,-56.2886,Chacra Los Cardenales
446,Palu,ID,75.69,heavy intensity rain,-0.8917,119.8707,Hotel Santika Palu
450,Ode,NG,76.57,overcast clouds,7.7899,5.7117,OWONIDADDY HOTEL AND SUITES
451,Pocone,BR,97.7,clear sky,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
452,Bubaque,GW,83.25,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
454,Lompoc,US,74.79,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
455,Bara,NG,76.51,overcast clouds,10.3744,10.7288,
456,Gamba,GA,74.41,overcast clouds,-2.65,10.0,
463,Sorong,ID,79.11,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
465,Martapura,ID,77.09,moderate rain,-3.4167,114.85,Montana Hotel Syariah
467,Guerrero Negro,MX,73.02,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
468,Manggar,ID,79.56,overcast clouds,-2.8833,108.2667,Guest Hotel
470,Salta,AR,90.19,clear sky,-24.7859,-65.4117,Hotel Alejandro I
471,Tiquisio,CO,82.89,overcast clouds,8.5597,-74.2669,Luis Florez
475,Kavieng,PG,82.87,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
476,Sibolga,ID,74.46,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
477,Bodden Town,KY,84.99,few clouds,19.2833,-81.25,Will T Place
478,Viedma,AR,79.59,clear sky,-40.8135,-62.9967,Hotel Cristal
479,Acopiara,BR,87.64,few clouds,-6.0953,-39.4525,Hotel Cantinho do céu
480,Denpasar,ID,78.46,moderate rain,-8.65,115.2167,OYO 3156 Hotel Warta Dua
481,Adrar,MR,73.54,clear sky,20.5022,-10.0711,
482,Kismayo,SO,79.57,overcast clouds,-0.3582,42.5454,Agan-Hotel
483,Sabang,ID,81.34,overcast clouds,5.8933,95.3214,Hotel Citra
484,Singaparna,ID,71.08,overcast clouds,-7.3515,108.111,Wisma Dewi Hotel
485,Santa Isabel Do Rio Negro,BR,73.54,moderate rain,-0.4139,-65.0192,Hotel GSA
492,Manoel Urbano,BR,85.12,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
494,Sungai Besar,MY,77.07,light rain,3.6746,100.9867,NIDA Rooms Sabak Bernam Comfort
495,Paraiso,CR,76.06,broken clouds,9.8383,-83.8656,Hotel Rinconcito Verde
498,Charters Towers,AU,74.75,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
501,Antalaha,MG,73.54,broken clouds,-14.9003,50.2788,Hotel Vitasoa
503,Douentza,ML,77.11,broken clouds,14.9951,-2.9517,Ogomono Doumbo
504,Coahuayana,MX,87.37,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
507,Atambua,ID,75.25,overcast clouds,-9.1061,124.8925,Ros Muskanan
516,Merauke,ID,78.75,overcast clouds,-8.4667,140.3333,
520,Itaqui,BR,89.94,clear sky,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
521,Kabo,CF,76.14,overcast clouds,7.6994,18.629,
523,Vasai,IN,77.09,clear sky,19.47,72.8,Jivdani Kripa
524,Santa Maria,BR,87.1,clear sky,-29.6842,-53.8069,Hotel Morotin
528,Nsanje,MW,74.59,clear sky,-16.92,35.262,Nsanje Discovery Lodge
532,Kyaikto,MM,75.0,overcast clouds,17.3,97.0167,နီလာ တည်းခိုခန်း
533,Gigmoto,PH,79.0,overcast clouds,13.7796,124.39,Cj's Travellers Inn
538,Zhenhai,CN,70.48,clear sky,24.2582,118.0905,In Zhijian Guesthouse
540,Yangjiang,CN,71.35,broken clouds,21.85,111.9667,HUALUXE Yangjiang City Center
541,Richards Bay,ZA,72.01,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
546,Mabaruma,GY,76.64,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
548,Mudon,MM,72.63,overcast clouds,16.2578,97.7164,Motel Mudon
554,Concordia,AR,93.27,clear sky,-31.393,-58.0209,Palmar Hotel Casino
556,Madimba,TZ,78.12,few clouds,-10.4,40.3333,
558,Nuevitas,CU,81.28,few clouds,21.5453,-77.2644,Hotel Caonaba
561,Amapa,BR,81.64,overcast clouds,1.0,-52.0,
563,Shadegan,IR,70.2,overcast clouds,30.6497,48.6647,مسافر خانه ابو ولید
568,Lakatoro,VU,82.81,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
569,Ilebo,CD,70.03,light rain,-4.3167,20.5833,Hôtel BUMAK
572,Pochutla,MX,91.22,few clouds,15.7432,-96.4661,Hotel Posada San Jose
573,Quila,MX,81.82,clear sky,24.4228,-107.22,Madereria Mercado
575,Sao Filipe,CV,78.57,overcast clouds,14.8961,-24.4956,Hotel Xaguate
577,Nauta,PE,82.45,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
579,Micheweni,TZ,77.2,moderate rain,-4.9667,39.8333,
580,Otukpo,NG,78.67,broken clouds,7.1913,8.1329,Queen s Hotel
585,Nata,PA,80.47,light rain,8.3333,-80.5167,Rey David
590,Iquitos,PE,82.44,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
594,General Roca,AR,86.63,broken clouds,-39.0333,-67.5833,Hotel El Recreo
601,Payo,ID,73.06,overcast clouds,-3.7508,103.6372,Mess keban agung
603,Bireun,ID,76.91,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
604,Lambarene,GA,74.52,overcast clouds,-0.7001,10.2406,Le Refuge
605,Manta,EC,78.58,clear sky,-0.95,-80.7333,Balandra Hotel
606,Suba,PH,82.33,overcast clouds,10.8438,121.0102,Casita Bed and Grill
609,Samut Sakhon,TH,84.04,overcast clouds,13.5833,100.3,Taweesuk Residence
612,Bandarbeyla,SO,77.97,clear sky,9.4942,50.8122,JABIR HOTEL
613,Iralaya,HN,80.62,moderate rain,15.0,-83.2333,Iglesia morava renovada
614,Puerto Carreno,CO,89.58,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
615,Tautira,PF,76.46,light rain,-17.7333,-149.15,Pension Oaoa
622,Tual,ID,82.42,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
623,Buala,SB,81.99,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
624,San Juan,AR,95.23,clear sky,-31.5375,-68.5364,Hotel Provincial
629,Gao,ML,72.14,clear sky,16.6362,1.637,
631,Kudahuvadhoo,MV,81.37,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
633,Pedernales,DO,84.27,few clouds,18.0384,-71.744,Hotel Costa Marina
637,Giyani,ZA,80.78,broken clouds,-23.3025,30.7187,Kulani Country Lodge
638,Nyimba,ZM,76.44,clear sky,-14.5566,30.8149,Dali Dali Lodge
640,Taoudenni,ML,76.35,clear sky,22.6783,-3.9836,
647,Chateaubelair,VC,81.12,scattered clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
648,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
649,Namatanai,PG,80.87,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
650,Neiafu,TO,81.28,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
652,Noumea,NC,81.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
663,Mayor Pablo Lagerenza,PY,97.65,few clouds,-19.9309,-60.7718,
665,Podor,MR,90.66,broken clouds,16.6527,-14.9587,Auberge Du Tékrour
670,Ghanzi,BW,81.19,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
672,Teahupoo,PF,78.76,light rain,-17.8333,-149.2667,Vanira Lodge
678,Maldonado,UY,76.39,light rain,-34.6667,-54.9167,La Cimarrona
684,Nioro,GM,81.34,scattered clouds,13.35,-15.75,
685,Libreville,GA,77.41,light rain,0.3925,9.4537,Hotel Kreg Le Patio
692,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
694,Morant Bay,JM,82.02,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
