City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Date
59,Katsuura,JP,35.1333,140.3,58.68,68,100,11.77,overcast clouds,2022-11-17 20:16:19
60,Alofi,NU,-19.0595,-169.9187,78.69,83,20,6.91,few clouds,2022-11-17 20:16:47
61,Vaini,TO,-21.2,-175.2,77.22,71,76,6.33,broken clouds,2022-11-17 20:15:00
62,Coihaique,CL,-45.5752,-72.0662,63.21,67,100,6.91,light intensity shower rain,2022-11-17 20:16:19
63,Buchanan,LR,5.8808,-10.0467,79.02,83,94,7.45,light rain,2022-11-17 20:22:14
64,High Level,CA,58.5169,-117.136,12.31,92,40,0.0,smoke,2022-11-17 20:22:15
65,Batamshinskiy,KZ,50.5594,58.2747,23.76,78,100,14.92,overcast clouds,2022-11-17 20:22:15
66,Chuy,UY,-33.6971,-53.4616,74.82,54,94,5.84,overcast clouds,2022-11-17 20:15:52
67,Wenatchee,US,47.4235,-120.3103,46.78,72,0,4.61,clear sky,2022-11-17 20:22:16
68,Yaan,NG,7.3833,8.5667,81.79,44,46,2.48,scattered clouds,2022-11-17 20:15:53
69,Acarau,BR,-2.8856,-40.12,81.66,70,10,18.16,clear sky,2022-11-17 20:16:51
70,Banjar,ID,-8.19,114.9675,77.04,93,100,4.72,overcast clouds,2022-11-17 20:22:17
71,Hilo,US,19.7297,-155.09,82.62,80,100,8.01,overcast clouds,2022-11-17 20:12:26
72,Osoyoos,CA,49.0331,-119.4524,41.41,52,45,9.22,scattered clouds,2022-11-17 20:22:17
73,Clyde River,CA,70.4692,-68.5914,-1.97,84,100,13.8,overcast clouds,2022-11-17 20:16:14
74,Kaitangata,NZ,-46.2817,169.8464,53.11,92,100,2.84,light rain,2022-11-17 20:15:31
75,Kiama,AU,-34.6833,150.8667,57.0,77,2,1.99,clear sky,2022-11-17 20:22:18
76,Lima,PE,-12.0432,-77.0282,64.65,72,75,11.5,broken clouds,2022-11-17 20:20:54
77,Akyab,MM,20.15,92.9,73.63,73,2,6.46,clear sky,2022-11-17 20:15:27
78,Surt,LY,31.2089,16.5887,73.6,38,21,6.44,few clouds,2022-11-17 20:17:34
79,Lebu,CL,-37.6167,-73.65,62.2,79,100,10.22,overcast clouds,2022-11-17 20:15:39
80,Hovd,MN,48.0056,91.6419,20.5,38,80,5.37,broken clouds,2022-11-17 20:22:19
81,Mildura,AU,-34.2,142.15,53.08,87,2,8.57,clear sky,2022-11-17 20:21:33
82,Vuktyl,RU,63.8567,57.3094,-0.94,91,100,11.39,overcast clouds,2022-11-17 20:22:19
83,Banda Aceh,ID,5.5577,95.3222,78.44,78,100,10.47,overcast clouds,2022-11-17 20:22:19
84,Mina,MX,26.0011,-100.5299,50.16,48,14,6.31,few clouds,2022-11-17 20:22:20
85,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,79,20,6.91,few clouds,2022-11-17 20:16:38
86,Lodja,CD,-3.4833,23.4333,68.79,99,86,2.48,light rain,2022-11-17 20:22:20
87,Abu Kamal,SY,34.4506,40.9171,62.47,56,0,4.68,clear sky,2022-11-17 20:22:20
88,Narsaq,GL,60.9167,-46.05,23.22,79,100,6.04,overcast clouds,2022-11-17 20:15:40
89,Coffs Harbour,AU,-30.3,153.1333,60.76,63,0,5.75,clear sky,2022-11-17 20:22:21
90,Alakurtti,RU,66.9672,30.3491,15.58,87,7,3.53,clear sky,2022-11-17 20:22:22
91,Khatanga,RU,71.9667,102.5,-25.2,95,100,4.38,overcast clouds,2022-11-17 20:15:54
92,Zalantun,CN,48.0,122.7167,25.75,77,0,5.19,clear sky,2022-11-17 20:22:22
93,Puerto Colombia,CO,10.9878,-74.9547,78.89,77,100,11.41,overcast clouds,2022-11-17 20:19:28
94,Jamestown,US,42.097,-79.2353,35.19,76,100,11.01,overcast clouds,2022-11-17 20:10:36
95,Thompson,CA,55.7435,-97.8558,7.36,77,68,8.37,broken clouds,2022-11-17 20:12:04
96,Bethel,US,41.3712,-73.414,45.48,50,100,12.66,overcast clouds,2022-11-17 20:15:15
97,San Cristobal,VE,7.7669,-72.225,80.78,63,61,4.72,broken clouds,2022-11-17 20:23:23
98,Walvis Bay,NA,-22.9575,14.5053,62.1,82,63,3.44,broken clouds,2022-11-17 20:23:23
99,Avarua,CK,-21.2078,-159.775,78.85,78,20,17.27,few clouds,2022-11-17 20:23:23
100,Saskylakh,RU,71.9167,114.0833,-26.72,100,95,4.05,overcast clouds,2022-11-17 20:15:47
101,Sokoni,TZ,-6.4333,39.55,79.72,82,34,10.76,scattered clouds,2022-11-17 20:23:24
102,Rawson,AR,-43.3002,-65.1023,77.29,44,20,14.97,thunderstorm with light rain,2022-11-17 20:11:30
103,Naze,JP,28.3667,129.4833,67.12,86,63,8.52,light rain,2022-11-17 20:17:36
104,Husavik,IS,66.0449,-17.3389,42.44,85,31,9.26,scattered clouds,2022-11-17 20:16:44
105,Qaanaaq,GL,77.484,-69.3632,-17.18,76,2,7.7,clear sky,2022-11-17 20:15:05
106,Olafsvik,IS,64.8945,-23.7142,45.14,84,33,24.05,scattered clouds,2022-11-17 20:23:25
107,Juneau,US,58.3019,-134.4197,35.22,93,40,0.0,scattered clouds,2022-11-17 20:15:36
108,Martin,US,27.0837,-80.4164,75.96,70,25,1.99,scattered clouds,2022-11-17 20:23:25
109,Saint-Philippe,RE,-21.3585,55.7679,69.39,73,36,8.12,scattered clouds,2022-11-17 20:15:29
110,Bahia Blanca,AR,-38.7196,-62.2724,83.95,37,83,3.69,broken clouds,2022-11-17 20:23:26
111,Bluff,NZ,-46.6,168.3333,52.3,93,100,11.54,overcast clouds,2022-11-17 20:10:47
112,Kharp,RU,66.8014,65.8081,14.72,89,100,13.71,light snow,2022-11-17 20:23:26
113,Nizhniy Baskunchak,RU,48.2198,46.8311,45.37,93,94,11.72,overcast clouds,2022-11-17 20:20:17
114,Maun,BW,-19.9833,23.4167,75.16,43,0,5.75,clear sky,2022-11-17 20:23:27
115,Sangod,IN,24.9167,76.2833,64.42,37,0,3.76,clear sky,2022-11-17 20:23:28
116,Poum,NC,-20.2333,164.0167,77.72,74,69,10.04,broken clouds,2022-11-17 20:17:21
117,Vestmannaeyjar,IS,63.4427,-20.2734,46.83,82,86,19.35,overcast clouds,2022-11-17 20:18:17
118,Hammerfest,NO,70.6634,23.6821,30.65,100,0,4.61,clear sky,2022-11-17 20:23:29
119,Te Anau,NZ,-45.4167,167.7167,53.56,96,100,2.62,overcast clouds,2022-11-17 20:16:41
120,Ilulissat,GL,69.2167,-51.1,19.42,79,75,5.75,broken clouds,2022-11-17 20:15:41
121,Sambava,MG,-14.2667,50.1667,73.72,87,19,0.36,few clouds,2022-11-17 20:14:54
122,Mitsamiouli,KM,-11.3847,43.2844,78.19,79,25,9.82,scattered clouds,2022-11-17 20:23:29
123,Muros,ES,42.7762,-9.0603,53.69,92,15,6.87,few clouds,2022-11-17 20:16:01
124,Deputatskiy,RU,69.3,139.9,-28.82,100,24,2.13,few clouds,2022-11-17 20:18:36
125,Esperance,AU,-33.8667,121.9,57.27,79,74,16.11,broken clouds,2022-11-17 20:15:15
126,Hithadhoo,MV,-0.6,73.0833,81.12,73,87,11.41,overcast clouds,2022-11-17 20:23:30
127,Kamenka,RU,51.3223,42.7678,34.59,100,100,5.48,overcast clouds,2022-11-17 20:23:30
128,Santa Luzia,BR,-19.7697,-43.8514,84.34,46,20,9.22,few clouds,2022-11-17 20:20:35
129,Krasnoznamensk,RU,55.5994,37.0386,25.92,79,75,15.66,broken clouds,2022-11-17 20:23:31
130,Isangel,VU,-19.55,169.2667,80.8,77,21,7.83,few clouds,2022-11-17 20:15:30
131,Neuquen,AR,-38.9516,-68.0591,89.49,35,40,6.91,scattered clouds,2022-11-17 20:20:21
132,Port Elizabeth,ZA,-33.918,25.5701,65.1,87,75,4.61,broken clouds,2022-11-17 20:23:31
133,Yuanping,CN,38.7153,112.7575,43.68,54,100,0.76,overcast clouds,2022-11-17 20:23:32
134,Bengkulu,ID,-3.8004,102.2655,75.43,87,100,6.58,overcast clouds,2022-11-17 20:17:09
135,Pisco,PE,-13.7,-76.2167,68.05,73,0,8.05,clear sky,2022-11-17 20:15:45
136,Auki,SB,-8.7676,160.7034,78.71,86,94,4.54,overcast clouds,2022-11-17 20:23:32
137,Saint-Pierre,RE,-21.3393,55.4781,71.91,64,0,5.75,clear sky,2022-11-17 20:16:47
138,Hualmay,PE,-11.0964,-77.6139,69.75,69,70,11.34,broken clouds,2022-11-17 20:16:45
139,Mandalgovi,MN,45.7625,106.2708,30.69,31,100,11.72,overcast clouds,2022-11-17 20:16:13
140,San-Pedro,CI,4.7485,-6.6363,78.66,81,83,6.29,broken clouds,2022-11-17 20:24:33
141,Aklavik,CA,68.2191,-135.0107,5.0,85,40,3.44,scattered clouds,2022-11-17 20:24:33
142,San Patricio,US,28.017,-97.5169,57.07,52,100,8.72,overcast clouds,2022-11-17 20:24:34
143,Dhanaura,IN,28.9667,78.25,60.24,54,0,6.62,clear sky,2022-11-17 20:24:34
144,Mahebourg,MU,-20.4081,57.7,68.25,59,16,5.46,few clouds,2022-11-17 20:15:44
145,Jacksonville,US,30.3322,-81.6556,62.82,38,40,11.5,scattered clouds,2022-11-17 20:20:20
146,Tasiilaq,GL,65.6145,-37.6368,33.96,88,92,7.36,overcast clouds,2022-11-17 20:24:34
147,Flin Flon,CA,54.7682,-101.865,8.44,56,75,8.05,broken clouds,2022-11-17 20:15:19
148,Agua Preta,BR,-8.7075,-35.5306,78.48,65,93,9.04,overcast clouds,2022-11-17 20:24:35
149,Lexington,US,37.9887,-84.4777,34.09,69,100,10.36,overcast clouds,2022-11-17 20:24:07
150,Nizhniy Odes,RU,63.6445,54.856,3.61,92,100,8.9,overcast clouds,2022-11-17 20:24:36
151,Graaff-Reinet,ZA,-32.2522,24.5308,58.93,73,100,9.62,overcast clouds,2022-11-17 20:24:36
152,Leningradskiy,RU,69.3833,178.4167,8.19,95,100,10.71,overcast clouds,2022-11-17 20:24:36
153,Hambantota,LK,6.1241,81.1185,77.99,78,100,2.66,overcast clouds,2022-11-17 20:24:36
154,Fortuna,US,40.5982,-124.1573,56.93,72,0,6.91,clear sky,2022-11-17 20:24:37
155,Dingle,PH,10.9995,122.6711,75.99,94,100,8.66,overcast clouds,2022-11-17 20:15:36
156,Tra Vinh,VN,9.9347,106.3453,78.04,89,100,8.72,overcast clouds,2022-11-17 20:24:37
157,Nouadhibou,MR,20.931,-17.0347,82.38,26,0,14.97,clear sky,2022-11-17 20:16:16
158,Sayula,MX,19.8667,-103.6167,80.91,32,0,3.89,clear sky,2022-11-17 20:24:37
159,Batticaloa,LK,7.7102,81.6924,73.8,80,100,12.06,overcast clouds,2022-11-17 20:24:38
160,Broome,US,42.2506,-75.833,37.62,73,100,13.8,overcast clouds,2022-11-17 20:24:38
161,Shenkursk,RU,62.1091,42.896,13.24,91,72,2.06,broken clouds,2022-11-17 20:20:11
162,Kintampo,GH,8.0563,-1.7306,76.46,40,32,3.94,scattered clouds,2022-11-17 20:24:38
163,Mar Del Plata,AR,-38.0023,-57.5575,67.82,75,0,10.36,clear sky,2022-11-17 20:24:39
164,Sembakung,ID,3.8167,117.25,74.05,99,98,1.61,overcast clouds,2022-11-17 20:24:39
165,Waingapu,ID,-9.6567,120.2641,81.03,82,92,2.84,overcast clouds,2022-11-17 20:24:40
166,Le Port,RE,-20.9373,55.2919,72.25,64,20,3.83,few clouds,2022-11-17 20:24:40
